id,pic,line,x0,y0,x1,y1,w0,c_gray,red,green,blue,alpha
0,1,1,630,264,626,259,4.0,0,0,0,0,0
1,1,1,626,259,606,248,4.0,0,0,0,0,0
2,1,1,606,248,598,245,4.0,0,0,0,0,0
3,1,1,598,245,584,240,4.0,0,0,0,0,0
4,1,1,584,240,576,239,4.0,0,0,0,0,0
5,1,1,576,239,556,239,4.0,0,0,0,0,0
6,1,1,556,239,517,240,4.0,0,0,0,0,0
7,1,1,517,240,449,266,4.0,0,0,0,0,0
8,1,1,449,266,411,284,4.0,0,0,0,0,0
9,1,1,411,284,370,311,4.0,0,0,0,0,0
10,1,1,370,311,351,331,4.0,0,0,0,0,0
11,1,1,351,331,337,368,4.0,0,0,0,0,0
12,1,1,337,368,332,403,4.0,0,0,0,0,0
13,1,1,332,403,332,425,4.0,0,0,0,0,0
14,1,1,332,425,332,459,4.0,0,0,0,0,0
15,1,1,332,459,333,485,4.0,0,0,0,0,0
16,1,1,333,485,341,512,4.0,0,0,0,0,0
17,1,1,341,512,353,540,4.0,0,0,0,0,0
18,1,1,353,540,368,553,4.0,0,0,0,0,0
19,1,1,368,553,379,559,4.0,0,0,0,0,0
20,1,1,379,559,398,565,4.0,0,0,0,0,0
21,1,1,398,565,433,568,4.0,0,0,0,0,0
22,1,1,433,568,452,568,4.0,0,0,0,0,0
23,1,1,452,568,482,568,4.0,0,0,0,0,0
24,1,1,482,568,532,566,4.0,0,0,0,0,0
25,1,1,532,566,565,560,4.0,0,0,0,0,0
26,1,1,565,560,600,551,4.0,0,0,0,0,0
27,1,1,600,551,606,549,4.0,0,0,0,0,0
28,1,1,606,549,606,549,4.0,0,0,0,0,0
29,1,1,606,549,606,549,4.0,0,0,0,0,0
30,1,1,606,549,606,549,4.0,0,0,0,0,0
31,1,1,606,549,606,549,4.0,0,0,0,0,0
32,1,2,862,206,862,206,4.0,0,0,0,0,0
33,1,2,862,206,862,206,4.0,0,0,0,0,0
34,1,2,862,206,862,206,4.0,0,0,0,0,0
35,1,2,862,206,862,206,4.0,0,0,0,0,0
36,1,2,862,206,862,206,4.0,0,0,0,0,0
37,1,2,862,206,862,206,4.0,0,0,0,0,0
38,1,2,862,206,858,206,4.0,0,0,0,0,0
39,1,2,858,206,845,206,4.0,0,0,0,0,0
40,1,2,845,206,827,206,4.0,0,0,0,0,0
41,1,2,827,206,809,212,4.0,0,0,0,0,0
42,1,2,809,212,790,219,4.0,0,0,0,0,0
43,1,2,790,219,773,227,4.0,0,0,0,0,0
44,1,2,773,227,752,240,4.0,0,0,0,0,0
45,1,2,752,240,744,247,4.0,0,0,0,0,0
46,1,2,744,247,740,255,4.0,0,0,0,0,0
47,1,2,740,255,740,262,4.0,0,0,0,0,0
48,1,2,740,262,740,268,4.0,0,0,0,0,0
49,1,2,740,268,745,285,4.0,0,0,0,0,0
50,1,2,745,285,760,302,4.0,0,0,0,0,0
51,1,2,760,302,778,314,4.0,0,0,0,0,0
52,1,2,778,314,816,334,4.0,0,0,0,0,0
53,1,2,816,334,844,350,4.0,0,0,0,0,0
54,1,2,844,350,885,364,4.0,0,0,0,0,0
55,1,2,885,364,915,378,4.0,0,0,0,0,0
56,1,2,915,378,930,386,4.0,0,0,0,0,0
57,1,2,930,386,948,398,4.0,0,0,0,0,0
58,1,2,948,398,950,402,4.0,0,0,0,0,0
59,1,2,950,402,952,409,4.0,0,0,0,0,0
60,1,2,952,409,953,420,4.0,0,0,0,0,0
61,1,2,953,420,953,441,4.0,0,0,0,0,0
62,1,2,953,441,952,453,4.0,0,0,0,0,0
63,1,2,952,453,945,482,4.0,0,0,0,0,0
64,1,2,945,482,936,502,4.0,0,0,0,0,0
65,1,2,936,502,920,525,4.0,0,0,0,0,0
